,name,price,cluster_group
210,Acer Chromebook Spin 511 R752TN-C63U,2732,0.0
211,Acer Swift 1 SF114-33-P28U,3299,0.0
212,Acer Aspire 5 A515-56-35SK,3899,0.0
213,Lenovo *DEMO* V14-IIL,3996,0.0
214,Lenovo IdeaPad 5 14ALC05 82LM,4475,0.0
215,Lenovo *DEMO* IdeaPad L340-15IRH Gaming,5233,0.0
216,Lenovo IdeaPad 3 17IML05,5350,0.0
217,Lenovo ThinkPad T460s - Refurbished,5800,0.0
218,HP ProBook 455 G8 - Ryzen 5 & FullHD IPS,6902,0.0
219,Lenovo Yoga Slim 7 Carbon 13ITL5,6999,0.0
220,ASUS TUF Gaming FX505DT-HN608T,7132,0.0
221,Lenovo ThinkPad X13 Gen 1,10614,0.0
222,Apple MacBook Air 2020 with Retina display Space Grey i5 8GB 512GB,11095,0.0
223,HP EliteBook 830 G8,11145,0.0
224,Microsoft Surface Laptop 3 Black i7 16GB 256GB,11501,0.0
225,Lenovo ThinkPad P15v Gen 1,13918,0.0
226,Lenovo ThinkPad T14s Gen 1,14004,0.0
227,Lenovo ThinkPad X13 Yoga Gen 1,15890,0.0
228,Acer Predator Helios 700 PH717-72-716P,19499,1.0
229,Lenovo ThinkPad P17 Gen 1,21915,1.0
230,Dell XPS 17 9700,27495,1.0
231,ASUS ROG Zephyrus S17 GX701LXS-HG032T,28512,1.0
232,HP Chromebook 14 G6,2934,0.0
233,Lenovo 10e Chromebook Tablet,3224,0.0
234,Acer Spin 1 SP111-34N-C7T0 - 4 GB RAM & 64 GB SSD,3299,0.0
235,Lenovo ThinkPad X260 Refurbished,4299,0.0
236,Acer *DEMO* Aspire 7 A715-75G-5930 -Quad Core i5 & Nvidia GTX grafikkort,5714,0.0
237,Lenovo ThinkPad L14 Gen 1,6397,0.0
238,Lenovo IdeaPad 5 Pro 16ACH6,6720,0.0
239,Acer Aspire 7 A715-41G-R62L,6799,0.0
240,Lenovo ThinkPad L15 Gen 1,7295,0.0
241,ASUS VivoBook S15 S533EA-BN151T,8045,0.0
242,Microsoft Surface Pro 7 2019 Black i5 8GB 256GB,8595,0.0
243,Lenovo IdeaPad 5 Pro 16ACH6 82L5,8671,0.0
244,Lenovo ThinkPad L13 Yoga,8799,0.0
245,"Apple MacBook Pro M1 2020 13"" M1/8/256 Silver",10622,0.0
